"","famN","yearOfBirth","yearOfDeath","sex","mother_id","father_id","anoinicio","origem_desc","district_ori","county_ori","ori_long","ori_lat","res_desc","district_res","county_res","res_long","res_lat"
"1","406","1990",NA,"unknown",NA,NA,"2011","VIANA DO CASTELO               ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516","COIMBRA                       VILA NOVA DE POIARES","COIMBRA","VILA NOVA DE POIARES","-8.25907","40.2107667"
"2","230","1895",NA,"male",NA,NA,"1921","SANTAREM                       CORUCHE","SANTAREM","CORUCHE","-8.5248217","38.9603055","BRAGA                         GUIMARÃES","BRAGA","GUIMARÃES","-8.426507","41.5454486"
"3","977","1931",NA,"male",NA,NA,"1958","BRAGANCA                       FREIXO DE ESPADA A CINTA","BRAGANCA","FREIXO DE ESPADA A CINTA","-6.8087993","41.0900806","COIMBRA                       PENACOVA","COIMBRA","PENACOVA","-8.28054","40.2704883"
"4","813","1949",NA,"unknown",NA,NA,"1982","PORTALEGRE                     AVIS","PORTALEGRE","AVIS","-7.4324129","39.2992955","PORTO                         PENAFIEL","PORTO","PENAFIEL","-8.2891305","41.2052808"
"5","407","1883",NA,"female",NA,NA,"1922","GUARDA                         MEDA","GUARDA","MEDA","-7.2595951","40.9670544","LISBOA                        CASCAIS","LISBOA","CASCAIS","-9.4222945","38.6970565"
"6","249","1984",NA,"female",NA,NA,"2014","BRAGANCA                       FREIXO DE ESPADA A CINTA","BRAGANCA","FREIXO DE ESPADA A CINTA","-6.8087993","41.0900806","PORTO                         LOUSADA","PORTO","LOUSADA","-8.2837376","41.2774793"
"7","140","1987",NA,"unknown",NA,NA,"2014","BRAGA                          VILA VERDE","BRAGA","VILA VERDE","-8.4332813","41.6507161","BRAGANCA                      CARRAZEDA DE ANSIÃES","BRAGANCA","CARRAZEDA DE ANSIÃES","-7.3075557","41.2428631"
"8","873","1893",NA,"unknown",NA,NA,"1931","SETUBAL                        BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149","PORTO                         PAREDES","PORTO","PAREDES","-8.3303867","41.2051674"
"9","861","1915",NA,"unknown",NA,NA,"1949","LEIRIA                         CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478","FARO                          SILVES","FARO","SILVES","-8.4412051","37.1889976"
"10","596","1916",NA,"male",NA,NA,"1954","BRAGA                          GUIMARÃES","BRAGA","GUIMARÃES","-8.426507","41.5454486","VISEU                         LAMEGO","VISEU","LAMEGO","-7.8123805","41.0953745"
"11","900","1895",NA,"male",NA,NA,"1921","C BRANCO                       OLEIROS","C BRANCO","OLEIROS","-7.9138535","39.9201996","VISEU                         SANTA COMBA DÃO","VISEU","SANTA COMBA DÃO","-8.1502433","40.3930591"
"12","864","1950",NA,"male",NA,NA,"1990","BRAGANCA                       TORRE DE MONCORVO","BRAGANCA","TORRE DE MONCORVO","-7.0534405","41.1742164","BRAGA                         VILA VERDE","BRAGA","VILA VERDE","-8.4332813","41.6507161"
"13","187","1941",NA,"male",NA,NA,"1966","VIANA DO CASTELO               CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082","COIMBRA                       GOIS","COIMBRA","GOIS","-8.1106319","40.155204"
"14","811","1922",NA,"female",NA,NA,"1961","PORTO                          GONDOMAR","PORTO","GONDOMAR","-8.5291423","41.1395599","COIMBRA                       ARGANIL","COIMBRA","ARGANIL","-8.0537909","40.218499"
"15","489","1973",NA,"female",NA,NA,"2003","PORTO                          MATOSINHOS","PORTO","MATOSINHOS","-8.6962775","41.1844362","SANTAREM                      SALVATERRA DE MAGOS","SANTAREM","SALVATERRA DE MAGOS","-8.794182","39.0272019"
"16","125","1968",NA,"female",NA,NA,"1998","PORTO                          VALONGO","PORTO","VALONGO","-8.498352","41.1887594","FARO                          SILVES","FARO","SILVES","-8.4412051","37.1889976"
"17","678","1914",NA,"unknown",NA,NA,"1943","LISBOA                         AZAMBUJA","LISBOA","AZAMBUJA","-8.8692915","39.0696027","VISEU                         MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539"
"18","586","1988",NA,"male",NA,NA,"2009","FARO                           SILVES","FARO","SILVES","-8.4412051","37.1889976","AVEIRO                        CASTELO DE PAIVA","AVEIRO","CASTELO DE PAIVA","-8.2714736","41.0409444"
"19","184","1990",NA,"unknown",NA,NA,"2030","VISEU                          TAROUCA","VISEU","TAROUCA","-7.7750036","41.0174461","VISEU                         SANTA COMBA DÃO","VISEU","SANTA COMBA DÃO","-8.1502433","40.3930591"
"20","564","1919",NA,"unknown",NA,NA,"1946","VIANA DO CASTELO               PONTE DA BARCA","VIANA DO CASTELO","PONTE DA BARCA","-8.41641271603104","41.8064160978201","AVEIRO                        AVEIRO","AVEIRO","AVEIRO","-8.6537539","40.6405055"
"21","721","1964",NA,"female",NA,NA,"2001","SANTAREM                       ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889","COIMBRA                       COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145"
"22","746","1995",NA,"unknown",NA,NA,"2031","VISEU                          CARREGAL DO SAL","VISEU","CARREGAL DO SAL","-7.9980002","40.4347784","PORTO                         BAIÃO","PORTO","BAIÃO","-8.035514","41.1617715"
"23","829","1979",NA,"unknown",NA,NA,"2000","COIMBRA                        OLIVEIRA DO HOSPITAL","COIMBRA","OLIVEIRA DO HOSPITAL","-7.8622032","40.3608614","LEIRIA                        ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667"
"24","99","2000",NA,"female",NA,NA,"2023","PORTO                          GONDOMAR","PORTO","GONDOMAR","-8.5291423","41.1395599","BRAGANCA                      CARRAZEDA DE ANSIÃES","BRAGANCA","CARRAZEDA DE ANSIÃES","-7.3075557","41.2428631"
"25","709","1918",NA,"female",NA,NA,"1946","BRAGANCA                       BRAGANÇA","BRAGANCA","BRAGANÇA","-6.756738","41.8061131","VISEU                         VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807"
"26","440","1915",NA,"male",NA,NA,"1954","BRAGA                          ESPOSENDE","BRAGA","ESPOSENDE","-8.7805652","41.5309169","BRAGA                         CELORICO DE BASTO","BRAGA","CELORICO DE BASTO","-8.0022034","41.3869496"
"27","594","1966",NA,"unknown",NA,NA,"1995","LEIRIA                         CASTANHEIRA DE PERA","LEIRIA","CASTANHEIRA DE PERA","-8.2125382","40.0058478","LEIRIA                        PORTO DE MOS","LEIRIA","PORTO DE MOS","-8.816531873487","39.6052039331281"
"28","260","1987",NA,"unknown",NA,NA,"2009","SETUBAL                        MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652","SETUBAL                       MOITA","SETUBAL","MOITA","-8.9902047","38.6527329"
"29","419","1945",NA,"male",NA,NA,"1982","PORTO                          POVOA DE VARZIM","PORTO","POVOA DE VARZIM","-8.7609294","41.3803685","VISEU                         SATÃO","VISEU","SATÃO","-7.7321201","40.7423572"
"30","525","1995",NA,"unknown",NA,NA,"2033","PORTO                          VILA NOVA DE GAIA","PORTO","VILA NOVA DE GAIA","-8.6117851","41.1238759","VISEU                         CINFÃES","VISEU","CINFÃES","-8.0898477","41.071713"
"31","676","1981",NA,"female",NA,NA,"2015","COIMBRA                        MONTEMOR-O-VELHO","COIMBRA","MONTEMOR-O-VELHO","-8.6826636","40.1748245","VISEU                         MANGUALDE","VISEU","MANGUALDE","-7.7664152","40.6083723"
"32","583","1996",NA,"unknown",NA,NA,"2035","BRAGANCA                       BRAGANÇA","BRAGANCA","BRAGANÇA","-6.756738","41.8061131","SANTAREM                      ALMEIRIM","SANTAREM","ALMEIRIM","-8.6259188","39.2075584"
"33","797","1957",NA,"male",NA,NA,"1992","C BRANCO                       BELMONTE","C BRANCO","BELMONTE","-7.3408535","40.351063","BRAGA                         BARCELOS","BRAGA","BARCELOS","-8.4411619","41.5414598"
"34","599","1956",NA,"male",NA,NA,"1988","FARO                           SILVES","FARO","SILVES","-8.4412051","37.1889976","COIMBRA                       COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145"
"35","331","1932",NA,"unknown",NA,NA,"1971","VIANA DO CASTELO               CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082","SANTAREM                      SANTAREM","SANTAREM","SANTAREM","-8.6860119","39.2366618"
"36","589","1986",NA,"unknown",NA,NA,"2013","BRAGA                          ESPOSENDE","BRAGA","ESPOSENDE","-8.7805652","41.5309169","VISEU                         VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807"
"37","619","1967",NA,"female",NA,NA,"1993","VISEU                          VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807","VISEU                         MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539"
"38","511","1938",NA,"female",NA,NA,"1965","VIANA DO CASTELO               VALENÇA","VIANA DO CASTELO","VALENÇA","-8.64236643582249","42.0274675841917","VIANA DO CASTELO              PONTE DA BARCA","VIANA DO CASTELO","PONTE DA BARCA","-8.41641271603104","41.8064160978201"
"39","499","1932",NA,"female",NA,NA,"1956","COIMBRA                        ARGANIL","COIMBRA","ARGANIL","-8.0537909","40.218499","BRAGA                         TERRAS DE BOURO","BRAGA","TERRAS DE BOURO","-8.3062444","41.7167409"
"40","521","1947",NA,"male",NA,NA,"1986","C BRANCO                       COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633","BRAGA                         CELORICO DE BASTO","BRAGA","CELORICO DE BASTO","-8.0022034","41.3869496"
"41","263","1892",NA,"male",NA,NA,"1921","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","BRAGA                         TERRAS DE BOURO","BRAGA","TERRAS DE BOURO","-8.3062444","41.7167409"
"42","5","1900",NA,"male",NA,NA,"1920","PORTO                          PORTO","PORTO","PORTO","-8.6291053","41.1579438","LEIRIA                        POMBAL","LEIRIA","POMBAL","-8.6321415","39.9167748"
"43","6","1964",NA,"unknown",NA,NA,"1987","FARO                           LOULE","FARO","LOULE","-8.020216","37.1379187","GUARDA                        SEIA","GUARDA","SEIA","-7.707845","40.4148619"
"44","446","1876",NA,"unknown",NA,NA,"1914","PORTO                          POVOA DE VARZIM","PORTO","POVOA DE VARZIM","-8.7609294","41.3803685","BRAGA                         BRAGA","BRAGA","BRAGA","-8.426507","41.5454486"
"45","845","1932",NA,"unknown",NA,NA,"1969","LEIRIA                         ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667","C BRANCO                      COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633"
"46","861","1949",NA,"unknown",NA,NA,"1985","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","VISEU                         MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539"
"47","927","1977",NA,"female",NA,NA,"1998","AVEIRO                         OLIVEIRA DO BAIRRO","AVEIRO","OLIVEIRA DO BAIRRO","-8.498208","40.5170209","VISEU                         OLIVEIRA DE FRADES","VISEU","OLIVEIRA DE FRADES","-8.1737805","40.7322554"
"48","771","1995",NA,"female",NA,NA,"2020","PORTO                          VILA NOVA DE GAIA","PORTO","VILA NOVA DE GAIA","-8.6117851","41.1238759","COIMBRA                       CONDEIXA-A-NOVA","COIMBRA","CONDEIXA-A-NOVA","-8.498689","40.1128075"
"49","446","1986",NA,"female",NA,NA,"2021","PORTO                          MAIA","PORTO","MAIA","-8.621049","41.2278891","SANTAREM                      SANTAREM","SANTAREM","SANTAREM","-8.6860119","39.2366618"
"50","294","1951",NA,"male",NA,NA,"1977","VISEU                          NELAS","VISEU","NELAS","-7.8498679","40.537787","LISBOA                        ODIVELAS","LISBOA","ODIVELAS","-9.18518","38.795369"
"51","232","1984",NA,"female",NA,NA,"2004","VIANA DO CASTELO               MONÇÃO","VIANA DO CASTELO","MONÇÃO","-8.48168647798729","42.0773036128971","LEIRIA                        PORTO DE MOS","LEIRIA","PORTO DE MOS","-8.816531873487","39.6052039331281"
"52","676","1877",NA,"unknown",NA,NA,"1907","BRAGANCA                       BRAGANÇA","BRAGANCA","BRAGANÇA","-6.756738","41.8061131","SANTAREM                      ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889"
"53","399","1921",NA,"unknown",NA,NA,"1941","SANTAREM                       CARTAXO","SANTAREM","CARTAXO","-8.7888254","39.1618166","GUARDA                        SABUGAL","GUARDA","SABUGAL","-7.0498442","40.3793416"
